resistance_thumb,bend_thumb,resistance_index,bend_index,resistance_mid,bend_mid,resistance_ring,bend_ring,x,y,z,stage
10923,5,11311.04,7,10219.69,1,12173.33,13,55,31,-100,0
10923,5,10923,5,9900,0,12173.33,13,58,31,-98,0
10560,3,11726.79,10,9900,0,12173.33,13,55,31,-99,0
10560,3,11311.04,7,9900,0,12654.23,15,56,32,-101,1
10560,3,10923,5,9900,0,12654.23,15,58,29,-101,1
11311.04,7,11311.04,7,9900,0,12173.33,13,56,29,-101,1
12173.33,13,11311.04,7,10219.69,1,13736.25,22,57,30,-99,1
14347.83,26,11311.04,7,9900,0,15745.71,34,55,29,-99,1
15745.71,34,11311.04,7,10923,5,18425,50,56,31,-101,1
16549.5,39,11311.04,7,12173.33,13,19528.23,57,54,30,-99,1
19528.23,57,11311.04,7,13173.6,19,23783.57,82,54,29,-102,1
18425,50,12654.23,15,13736.25,22,25638.46,93,55,28,-100,1
22176,73,13173.6,19,15015,30,27802.5,106,55,30,-100,1
22176,73,14347.83,26,17437.89,44,30360,122,55,29,-101,1
25638.46,93,15015,30,20769.38,64,33429,140,56,28,-100,2
27802.5,106,15745.71,34,25638.46,93,41868.75,191,56,30,-101,2
30360,122,16549.5,39,25638.46,93,33429,140,53,29,-102,2
30360,122,18425,50,27802.5,106,37180,163,55,29,-101,2
30360,122,20769.38,64,27802.5,106,37180,163,55,28,-103,2
30360,122,22176,73,33429,140,37180,163,53,26,-101,2
33429,140,23783.57,82,30360,122,41868.75,191,55,28,-102,2
30360,122,25638.46,93,33429,140,37180,163,55,30,-104,2
30360,122,27802.5,106,37180,163,41868.75,191,55,29,-104,2
33429,140,27802.5,106,37180,163,37180,163,56,26,-104,2
30360,122,30360,122,33429,140,33429,140,55,27,-104,2
33429,140,30360,122,37180,163,33429,140,55,27,-104,2
30360,122,33429,140,47897.14,227,33429,140,56,26,-106,2
30360,122,33429,140,41868.75,191,30360,122,58,27,-103,2
23783.57,82,30360,122,41868.75,191,20769.38,64,56,27,-103,2
20769.38,64,33429,140,41868.75,191,18425,50,58,26,-105,2
18425,50,33429,140,37180,163,16549.5,39,58,28,-101,2
16549.5,39,33429,140,33429,140,13173.6,19,56,28,-103,2
15015,30,30360,122,30360,122,11726.79,10,56,28,-104,2
15745.71,34,30360,122,20769.38,64,10923,5,57,29,-102,2
14347.83,26,27802.5,106,19528.23,57,10560,3,59,28,-103,2
12654.23,15,25638.46,93,13173.6,19,9900,0,59,28,-103,1
11726.79,10,22176,73,11726.79,10,10219.69,1,59,25,-104,1
11726.79,10,20769.38,64,10923,5,9900,0,58,28,-104,1
11311.04,7,17437.89,44,10219.69,1,9599.12,-2,59,25,-105,1
10560,3,16549.5,39,9900,0,9599.12,-2,57,27,-105,1
10560,3,13173.6,19,9900,0,9599.12,-2,59,25,-106,1
10560,3,11726.79,10,9900,0,9599.12,-2,58,26,-106,1
10219.69,1,11726.79,10,9599.12,-2,9599.12,-2,59,26,-102,1
10219.69,1,10923,5,9599.12,-2,9900,0,59,27,-106,1
10219.69,1,10219.69,1,9599.12,-2,9599.12,-2,58,26,-104,1
9900,0,9900,0,9599.12,-2,9599.12,-2,58,26,-104,1
10560,3,9599.12,-2,9599.12,-2,9900,0,56,24,-105,1
10219.69,1,9315.43,-4,9900,0,9599.12,-2,59,27,-104,1
10219.69,1,9599.12,-2,9599.12,-2,9900,0,58,25,-105,0
10219.69,1,9599.12,-2,9599.12,-2,9900,0,57,26,-105,0
10219.69,1,9315.43,-4,9599.12,-2,9599.12,-2,59,27,-104,0
9900,0,9599.12,-2,9599.12,-2,11726.79,10,58,27,-103,0
10219.69,1,9900,0,9900,0,12173.33,13,57,27,-103,0
10219.69,1,9599.12,-2,9900,0,12654.23,15,57,27,-102,1
10219.69,1,9900,0,9599.12,-2,12173.33,13,57,28,-103,1
10219.69,1,10219.69,1,9900,0,13173.6,19,58,27,-103,1
10219.69,1,10923,5,9315.43,-4,14347.83,26,58,25,-103,1
10219.69,1,12173.33,13,9315.43,-4,13736.25,22,58,26,-103,1
11311.04,7,13736.25,22,9599.12,-2,14347.83,26,57,27,-104,1
12173.33,13,16549.5,39,10219.69,1,15745.71,34,57,26,-103,1
14347.83,26,17437.89,44,11311.04,7,17437.89,44,57,26,-102,1
15745.71,34,19528.23,57,12654.23,15,18425,50,57,28,-104,1
17437.89,44,22176,73,8553.95,-8,22176,73,57,27,-104,1
17437.89,44,25638.46,93,9599.12,-2,20769.38,64,59,25,-106,1
19528.23,57,27802.5,106,11311.04,7,22176,73,59,24,-102,1
20769.38,64,27802.5,106,11311.04,7,23783.57,82,58,27,-107,1
22176,73,30360,122,9900,0,25638.46,93,58,27,-104,1
23783.57,82,33429,140,22176,73,25638.46,93,57,23,-104,1
25638.46,93,33429,140,30360,122,27802.5,106,61,25,-107,2
30360,122,33429,140,22176,73,30360,122,61,26,-106,2
27802.5,106,37180,163,23783.57,82,27802.5,106,62,26,-104,2
33429,140,37180,163,19528.23,57,33429,140,61,24,-107,2
30360,122,30360,122,0.65,-60,33429,140,59,26,-105,2
33429,140,33429,140,0.97,-60,41868.75,191,61,27,-106,2
33429,140,33429,140,1.3,-59,37180,163,60,24,-105,2
33429,140,30360,122,0.65,-60,37180,163,60,24,-107,2
33429,140,30360,122,1.3,-59,41868.75,191,61,22,-106,2
27802.5,106,30360,122,0.97,-60,41868.75,191,62,23,-106,2
30360,122,27802.5,106,0.65,-60,37180,163,60,25,-106,2
25638.46,93,23783.57,82,1.3,-59,37180,163,62,26,-106,2
23783.57,82,23783.57,82,0,-60,41868.75,191,62,26,-106,2
22176,73,17437.89,44,0.97,-60,41868.75,191,61,26,-106,2
20769.38,64,13736.25,22,0.65,-60,41868.75,191,61,26,-106,2
